の,of,no
レッド,Red,reddo
要請,request,yousei
富,wealth,tomi
清水,Clear water,shimizu
避ける,avoid,sake ru
落とす,Drop,oto su
典,Scripture,ten
ロサンゼルス,Los Angeles,rosanzerusu
投資,investment,toushi
オペラ,Opera,opera
妹,sister,imouto
な,I,na
手段,means,shudan
大使,Ambassador,taishi
孝,Filial piety,takashi
香,Incense,kaori
教皇,Pope,kyoukou
上陸,landing,jouriku
合,If,gou
しかしながら,However,shikashinagara
暫く,Little while,shibaraku
枝,branch,eda
最多,Most,saita
希望,Hope,kibou
資本,capital,shihon
福井,Fukui,fukui
こちら,Click here,kochira
ジャンプ,Jump,janpu
初回,First time,shokai
加藤,Kato,katou
共演,Co-starring,kyouen
左右,Left and right,sayuu
生命,life,seimei
台車,Truck,daisha
知識,knowledge,chishiki
教える,teach,oshie ru
抜く,Unplug,nuku
大和,Yamato,yamato
雨,rain,ame
キャリア,Career,kyaria
穴,hole,ana
数字,The numbers,suuji
血,blood,chi
区分,Classification,kubun
鬼,demon,oni
発着,Arrival and departure,hatchaku
南東,Southeast,nantou
歴代,Successive generations,rekidai
トマス,Thomas,tomasu
廃,Waste,hai
電鉄,Electric railway,dentetsu
塚,Mound,tsuka
具体,Concrete,gutai
売却,sale,baikyaku
癌,cancer,gan
酒,Liquor,sake
アクション,action,akushon
半ば,middle,nakaba
環,ring,kan
もたらす,Bring,motarasu
休止,Pause,kyuushi
トーナメント,tournament,toonamento
ギリシア,Greek,girishia
格,Case,kaku
燐,phosphorus,rin
親王,Prince,shinnou
姉妹,Sisters,shimai
房,Tuft,bou
霊,Soul,rei
規則,Rule,kisoku
伊勢,Ise,ise
商,quotient,shou
人員,personnel, jinin
バラエティー,Variety,baraeteii
様式,Style,youshiki
竹,bamboo,take
修正,Correction,shuusei
そのよう,Such,sonoyou
協定,Pact,kyoutei
小林,Kobayashi,kobayashi
複雑,complexity,fukuzatsu
スクール,School,sukuuru
ジャン,Jean,jan
古典,classic,koten
珍しい,rare,mezurashi i
近く,near,chikaku
登板,Pitched,touban
大部分,Majority,daibubun
興行,Performance,kougyou
茶,tea,cha
容易,Easy,youi
両者,Two,ryousha
殺人,murder,satsujin
育成,Training,ikusei
正確,correct,seikaku
震災,Earthquake disaster,shinsai
栃木,Tochigi,tochigi
望む,Desire,nozomu
ロード,Road,roodo
和歌山,Wakayama,wakayama
山脈,Mountain range,sanmyaku
就く,Take,tsuku
解釈,Interpretation,kaishaku
票,A vote,hyou
混乱,confusion,konran
ハウス,House,hausu
不可能,impossible,fukanou
ディスク,disk,disuku
士官,officer,shikan
観,Look,kan
将来,future,shourai
起源,origin,kigen
群馬,Gunma,gunma
狙う,Aim,nerau
伊藤,Ito,itou
ネーム,name,neemu
テニス,tennis,tenisu
現存,Extant,genzon
著名,Famous,chomei
警備,security,keibi
画家,painter,gaka
急,Sudden,kyuu
事情,Situation,jijou
泣く,cry,naku
泰,Yasushi,yasushi
補助,auxiliary,hojo
ん,Hmm,n
無し,None,nashi
輸出,export,yushutsu
マリア,Maria,maria
一番,Best,ichiban
松平,Matsudaira,matsudaira
虎,tiger,tora
支払う,pay,shiharau
ロボット,robot,robotto
流す,Shed,nagasu
脚,leg,ashi
帰る,Return,kaeru
ターミナル,Terminal,taaminaru
食,Eclipse,shoku
午前,a.m.,gozen
コミュニティー,community,komyuniteii
プロダクション,production,purodakushon
ラン,run,ran
蒸気,vapor,jouki
経緯,Circumstances,keii
ブラック,black,burakku
池田,Ikeda,ikeda
ボーカル,vocal,bookaru
一緒,together,issho
エピソード,episode,episoodo
遠征,expedition,ensei
遺産,heritage,isan
打率,batting average,daritsu
月刊,Monthly publication,gekkan
床,floor,toko
提携,Tie-up,teikei
信仰,faith,shinkou
予算,budget,yosan
ヘンリー,Henry,henrii
秘密,secret,himitsu
ロバート,Robert,robaato
能,Noh,nou
逃げる,escape,nige ru
生きる,live,iki ru
職員,Staff,shokuin
そう,so,sou
ダイヤ,Diamond,daiya
平日,Weekday,heijitsu
取り組む,Tackle,torikumu
インタビュー,interview,intabyuu
無線,wireless,musen
画像,image,gazou
模様,pattern,moyou
戦死,Killed,senshi
バスケットボール,basketball,basukettobooru
進化,evolution,shinka
連結,Linking,renketsu
一旦,Once,ittan
教徒,Muslim,kyouto
敗北,defeat,haiboku
沼,Swamp,numa
猫,Cat,neko
脳,brain,nou
外部,Outside,gaibu
重ねる,Overlaid,kasaneru
素,Elementary,moto
遂に,finally,tsuini
議席,Seats,giseki
著書,book,chosho
打ち上げる,launch,uchiage ru
楽器,Musical instrument,gakki
評論,Criticism,hyouron
球場,Baseball stadium,kyuujou
守護,Protection,shugo
上海,Shanghai,shanhai
戦国,Sengoku,sengoku
むら,Irregularity,mura
個体,individual,kotai
参,three,san
感染,infection,kansen
伸びる,extend,nobi ru
コンビ,combination,konbi
弟子,Disciple,deshi
陥る,Fall into,ochiiru
刑事,Detective,keiji
早稲田,Waseda,waseda
西武,Seibu,seibu
同期,Synchronization,douki
印,mark,in
銀河,Galaxy,ginga
型,Mold,kata
インターチェンジ,Interchange,intaachenji
享年,He was,kyounen
巡,Tour,jun
重視,Importance,juushi
構築,Construction,kouchiku
生かす,Make use of,ika su
単に,simply,tanni
片,Pieces,hen
演劇,theater,engeki
類似,Analogy,ruiji
判明,Found,hanmei
解体,Dismantling,kaitai
離脱,Withdrawal,ridatsu
ルイ,Louis,rui
半分,Half,hanbun
支える,support,sasae ru
魚雷,torpedo,gyorai
亀,turtle,kame
端末,Terminal,tanmatsu
授与,Award,juyo
四国,Shikoku,shikoku
セルビア,Serbia,serubia
在学,Student,zaigaku
仕える,serve,tsukae ru
ビジネス,business,bijinesu
譲渡,Assignment,jouto
包囲,Siege,houi
運ぶ,Transport,hakobu
フィールド,field,fiirudo
次元,dimension,jigen
油,oil,abura
取り付ける,Install,toritsuke ru
ビット,bit,bitto
倒す,knock down,taosu
渡辺,Watanabe,watanabe
試作,Trial production,shisaku
保持,Retention,hoji
恐れる,fear,osore ru
グリーン,green,guriin
音声,voice,onsei
定着,The fixing,teichaku
配備,deployment,haibi
明確,Clear,meikaku
テキサス,Texas,tekisasu
消防,Fire fighting,shoubou
両方,Both,ryouhou
傷,scratch,kizu
夫人,Mrs,fujin
スケート,skate,sukeeto
イスラエル,Israel,isuraeru
未来,future,mirai
石油,oil,sekiyu
放つ,Release,houttsu
参議院,House of Councilors,sangiin
其の内,Among its,sono nai
奴隷,slave,dorei
因る,Due,yoru
聖書,Bible,seisho
大手,Leading,oote
捜査,investigation,sousa
劇団,Troupe,gekidan
佐賀,Saga,saga
桃,peach,momo
広場,Plaza,hiroba
柱,Pillar,hashira
レイ,Ray,rei
文献,Literature,bunken
業者,Trader,gyousha
人類,Human race,jinrui
祖,Its,so
魔法,magic,mahou
主体,Subject,shutai
心理,Mentality,shinri
帰還,Return,kikan
実業,Business,jitsugyou
領土,territory,ryoudo
柳,willow,yanagi
歌詞,lyrics,kashi
武田,Takeda,takeda
パイロット,pilot,pairotto
こう,like this,kou
現場,Scene,genba
メモリー,memory,memorii
公認,Official recognition,kounin
考慮,Consideration,kouryo
湯,Hot water,yu
性質,nature,seishitsu
東洋,Orient,touyou
指示,Instruction,shiji
掲げる,Listed,kakage ru
患者,patient,kanja
パワー,power,pawaa
取り入れる,Adopt,toriire ru
故障,malfunction,koshou
再度,again,saido
中華人民共和国,People's Republic of China,chuuka jinmin kyouwakoku
ファッション,fashion,fasshon
こそ,What,koso
オフ,off,ofu
傘下,Under the umbrella,sanka
攻める,Attack,seme ru
称号,title,shougou
スポンサー,sponsor,suponsaa
呉,Wu,kure
高まる,Rise,takama ru
大賞,First prize,taishou
完了,Completion,kanryou
弁,valve,ben
分かつ,Divide,waka tsu
ウィーン,Vienna,uiin
堀,moat,hori
僕,I,boku
自,Own,ji
人工,Man-made,jinkou
満たす,Fulfill,mita su
線路,line,senro
訪問,visit,houmon
生じる,Arise,shouji ru
効率,efficiency,kouritsu
将,Shou,shou
信頼,Trust,shinrai
様子,Appearance,yousu
恋,love,koi
実,Fruit,mi
発揮,Display,hakki
郊外,Suburb,kougai
勃発,outbreak,boppatsu
世帯,Household,setai
追放,Expulsion,tsuihou
代わり,Substitute,kawari
卵,egg,tamago
得意,Customer,tokui
プロデュース,Produce,purodeyuusu
国防,National defense,kokubou
仏教,Buddhism,bukkyou
測定,Measurement,sokutei
騎士,Knight,kishi
岳,Mountain,gaku
一郎,Ichiro,ichirou
家臣,Vassal,kashin
地理,Geography,chiri
職業,Profession,shokugyou
服,clothes,fuku
ミュージシャン,Musician,myuujishan
貴,Takashi,takashi
桁,digit,keta
動画,The video,douga
分岐,A branch,bunki
現実,reality,genjitsu
ジャズ,jazz,jazu
どの,Which,dono
分裂,division,bunretsu
暗殺,assassination,ansatsu
短期,Short term,tanki
遂げる,Achieve,toge ru
合意,agreement,goui
相続,inheritance,souzoku
打撃,Blow,dageki
張る,Stretch,haru
資源,resource,shigen
訴える,bring the action,uttae ru
インチ,inch,inchi
井上,Inoue,inoue
シカゴ,Chicago,shikago
クラシック,Classic,kurashikku
降伏,Surrender,koufuku
ウェブ,web,uebu
下部,beneath,kabu
アニメーション,animation,animeeshon
ベルギー,Belgium,berugii
ランド,land,rando
ジャック,Jack,jakku
パソコン,computer,pasokon
下す,Make,kudasu
単純,Simplicity,tanjun
デンマーク,Denmark,denmaaku
命ずる,Appoint,meizu ru
次々,One by one,tsugitsugi
帳,Curtain,chou
ハイ,Yes,hai
取り扱う,handle,toriatsukau
流行,trend,ryuukou
旬,Season,jun
戦時,War time,senji
ジャンル,Genre,janru
辞任,Resignation,jinin
栽培,Cultivation,saibai
敷地,site,shikichi
局長,Director-General,kyokuchou
水素,hydrogen,suiso
強力,Powerful,kyouryoku
出馬,Candidacy,shutsuba
直通,Direct,chokutsuu
抱える,Faced,dae ru
一致,match,itchi
住,Living,juu
訴訟,Litigation,soshou
翌日,next day,yokujitsu
山梨,Yamanashi,yamanashi
入力,input,nyuuryoku
援助,assistance,enjo
何度,Many times,nando
福祉,welfare,fukushi
入り口,Entrance,iriguchi
ローカル,local,rookaru
助ける,help,tasuke ru
長年,Many years,naganen
従って,Therefore,shitagatte
鳥取,Tottori,tottori
王子,prince,ouji
初期に,Early,shoki ni
案内,guide,annai
医,Doctor,i
復興,reconstruction,fukkou
ソウル,Soul,souru
印刷,printing,insatsu
連覇,Consecutive title,renpa
モーター,motor,mootaa
場面,scene,bamen
架空,Aerial,kakuu
メール,Email,meeru
商店,Shop,shouten
措置,Measure,sochi
少将,Major general,shoushou
寺院,Temple,jiin
遺伝子,gene,idenshi
パーソナリティ,Personality,paasonaritei
気候,climate,kikou
活用,Take advantage,katsuyou
スコットランド,Scotland,sukottorando
幅広い,Wide range,habahiroi
自社,House,jisha
砦,fort,toride
先行,Preceding,senkou
権力,power,kenryoku
男女,Men and women,danjo
抱く,Harbor,daku
兼ねる,Serve,kane ru
仮,Provisional,kari
不詳,unknown,fushou
飛ぶ,jump,tobu
コスト,cost,kosuto
悪,evil,aku
寿,Long life,hisashi
姿勢,posture,shisei
体系,system,taikei
吹く,Blow,fuku
総称,General term,soushou
美しい,it's beautiful,utsukushi i
聖堂,Church,seidou
リンク,Link,rinku
予想,Forecast,yosou
功績,Achievement,kouseki
神話,mythology,shinwa
多様,Diversity,tayou
往復,round trip,oufuku
両親,parents,ryoushin
部品,parts,buhin
ライター,Writer,raitaa
国語,National language,kokugo
策,Policy,saku
書籍,Book,shoseki
巨人,Giant,kyojin
鶴,crane,tsuru
多寡,Amount,taka
十字,cross,juuji
育つ,growing up,sodatsu
誘導,Induction,yuudou
費用,cost,hiyou
自宅,home,jitaku
オープニング,opening,oopuningu
アマチュア,amateur,amachua
クイズ,quiz,kuizu
編曲,Arrangement,henkyoku
直線,Straight line,chokusen
コムーネ,Comune,komuune
記憶,Memory,kioku
エンディング,ending,endingu
観客,audience,kankyaku
殻,shell,kara
当主,Family head,toushu
作者,author,sakusha
防止,Prevention,boushi
近郊,Suburbs,kinkou
ヘッド,head,heddo
送信,Transmission,soushin
整理,Arrangement,seiri
介,Through,suke
記号,symbol,kigou
漢字,Chinese characters,kanji
し,Tooth,shi
コピー,copy,kopii
高松,Takamatsu,takamatsu
切れる,Expire,kire ru
王朝,dynasty,ouchou
駆動,Drive,kudou
ブルー,blue,buruu
韓,South Korea,kan
証券,Securities,shouken
社名,Company name,shamei
急速,rapid,kyuusoku
限り,as long as,kagiri
ドーム,dome,doomu
日中,Daytime,nitchuu
ライダー,rider,raidaa
総督,Governor-general,soutoku
渡す,hand off,watasu
亭,Tei,tei
温度,temperature,ondo
増す,Increase,masu
アイテム,item,aitemu
峰,Peak,mine
恵,Megumi,megumi
脱退,Secession,dattai
フィンランド,Finland,finrando
保つ,keep,tamotsu
制す,Wins,sei su
大橋,Ohashi,oohashi
若しくは,Or,moshikuha
別名,alias,betsumei
イスラム,Islam,isuramu
ボタン,button,botan
好む,prefer,konomu
平安,peace,heian
三菱,Mitsubishi,mitsubishi
原則,principle,gensoku
象徴,Symbol,shouchou
番線,Track number,bansen
繁殖,Breed,hanshoku
襲撃,Raid,shuugeki
ボード,board,boodo
関与,Participation,kanyo
具,Ingredients,gu
負担,burden,futan
チャールズ,Charles,chaaruzu
専攻,Major in,senkou
申請,Application,shinsei
ブーム,boom,buumu
導く,Lead,michibiku
目立つ,stand out,medatsu
筋,muscle,suji
司教,Bishop,shikyou
熊,bear,kuma
造船,shipbuilding,zousen
ライセンス,license,raisensu
タッグ,Tag,taggu
利益,Profits,rieki
師事,He studied,shiji
博,Hiroshi,hiroshi
絵画,Picture,kaiga
流通,distribution,ryuutsuu
読売,Yomiuri,yomiuri
少数,a few,shousuu
保障,security,hoshou
洋,Hiroshi,hiroshi
滞在,stay,taizai
碑,Monument,hi
荘,Zhuang,sou
埋める,fill in,ume ru
転,Rolling,ten
モンゴル,Mongolia,mongoru
実績,Performance,jisseki
公表,Published,kouhyou
度々,Often,tabitabi
旅団,brigade,ryodan
依存,Dependence,izon
新規,A new,shinki
近鉄,Kintetsu,kintetsu
選抜,Selection,senbatsu
中山,Nakayama,nakayama
以内,Within,inai
上下,Up and down,jouge
ボクシング,boxing,bokushingu
中期,Medium term,chuuki
織田,Oda,oda
オスマン,Ottoman,osuman
リーダー,leader,riidaa
酵素,enzyme,kouso
俊,Shun,shun
最低,The lowest,saitei
一切,All,issai
出発,Departure,shuppatsu
大隊,battalion,daitai
停車場,Depot,teisha ba
後者,the latter,kousha
トーク,Talk,tooku
矢,arrow,ya
マイケル,Michael,maikeru
硝子,glass,garasu
意図,Intention,ito
プロイセン,Prussia,puroisen
大名,Daimyo,daimyou
国土,"Land,",kokudo
フリードリヒ,Friedrich,furiidorihi
ロング,long,rongu
カット,cut,katto
ウルトラ,Ultra,urutora
相次ぐ,successive,aitsugu
爆弾,bomb,bakudan
姉,sister,ane
小学,elementary,shougaku
流域,Basin,ryuuiki
気象,weather,kishou
来歴,history,raireki
白い,white,shiroi
活性,Activity,kassei
順位,Rank, juni
撤去,Withdrawal,tekkyo
周波,frequency,shuuha
宝塚,Takarazuka,takarazuka
宿,Inn,yado
代理,Agency,dairi
幹部,Leaders,kanbu
優先,priority,yuusen
積む,Stack,tsumu
上野,Ueno,ueno
入手,obtain,nyuushu
株,stock,kabu
圧倒,Overwhelmed,attou
ジム,Gym,jimu
禄,Lu,roku
譲る,Yield,yuzuru
艇,Boat,tei
キング,King,kingu
赤い,red,akai
卿,Lord,kyou
渋谷,Shibuya,shibuya
学,Manabu,gaku
続編,Continuation,zokuhen
複合,composite,fukugou
騎手,Jockey,kishu
リード,Lead,riido
大字,Section of village,ooaza
合同,Congruence,goudou
本体,A body,hontai
携わる,Participate,tazusawa ru
桂,Katsura,katsura
動,Motion,dou
西洋,West,seiyou
原題,Original title,gendai
ミッション,Mission,misshon
理,Management,ri
造る,make,tsukuru
座席,seat,zaseki
移民,Immigration,imin
数える,count,kazoe ru
後方,Behind,kouhou
確定,Confirm,kakutei
ミス,Miss,misu
描写,Depiction,byousha
防ぐ,prevent,fusegu
修,Osamu,osamu
祖父,grandfather,sofu
関心,interest,kanshin
足る,Enough,taru
体験,Experience,taiken
答える,answer,kotae ru
締結,Entered into,teiketsu
ノルウェー,Norway,noruuee
輝,Bright,teru
下位,Subordinate,kai
腕,arm,ude
前後,Before and after,zengo
北朝鮮,North Korea,kitachousen
異,Different,i
中将,Lieutenant general,chuujou
少し,a little,sukoshi
女王,Queen,joou
既存,Existing,kizon
上部,The top,joubu
イラスト,An illustration,irasuto
羅,Luo,ra
コメント,comment,komento
イラン,Iran,iran
バレーボール,volleyball,bareebooru
ディーゼル,diesel,diizeru
今後,from now on,kongo
可,Yes,ka
冒険,adventure,bouken
実用,Practical use,jitsuyou
セント,Cent,sento
攻略,Capture,kouryaku
高知,Kochi,kouchi
ベル,Bell,beru
受信,Reception,jushin
芸,Tricks,gei
違反,violation,ihan
顧問,Adviser,komon
操縦,Control,soujuu
屋根,roof,yane
解消,Cancellation,kaishou
伝わる,Passed down,tsutawa ru
大将,General,taishou
勇,Courage,isami
振興,Promotion,shinkou
軍隊,army,guntai
転ずる,Turn,tenzu ru
迫る,Approaching,semaru
加工,processing,kakou
発明,invention,hatsumei
提唱,Proposal,teishou
享,Toru,kyou
パン,Bread,pan
取材,Interview,shuzai
上回る,Exceed,uwamawaru
参考,reference,sankou
コレクション,collection,korekushon
北条,Hojo,houjou
展,Exhibition,ten
司法,Administration of justice,shihou
抗議,protest,kougi
特許,Patent,tokkyo
空母,aircraft carrier,kuubo
自民党,Liberal Democratic Party,jimintou
病気,sick,byouki
双方,both,souhou
玄,Xuan,gen
ナショナル,National,nashonaru
絶対,Absolutely,zettai
船団,fleet,sendan
海峡,Strait,kaikyou
緊急,emergency,kinkyuu
競輪,Bicycle race,keirin
需要,demand,juyou
足利,Ashikaga,ashikaga
代替,Substitute,daitai
実装,Implementation,jissou
怒る,Get angry,ikaru
后,After,kisaki
到達,Reaching,toutatsu
愛媛,Ehime,ehime
損害,damage,songai
一連,The series,ichiren
アルゼンチン,Argentina,aruzenchin
ドライバー,driver,doraibaa
修了,Completion,shuuryou
例外,exception,reigai
晴,Clear,sei
独特,Characteristic,dokutoku
趣味,hobby,shumi
並行,Concurrent,heikou
囲む,surround,kakomu
快速,Rapid,kaisoku
ナイト,Night,naito
戦力,War potential,senryoku
乗り入れる,Drive into,noriire ru
密度,density,mitsudo
影,Shadow,kage
棟,Building,tou
先頭,lead,sentou
ケーブル,cable,keeburu
再編,Reorganization,saihen
毎日,every day,mainichi
逃れる,escape,nogare ru
相対,relative,soutai
アプリケーション,application,apurikeeshon
襲う,Attack,osou
同日,Same day,doujitsu
上映,Screening,jouei
競争,competition,kyousou
子孫,descendants,shison
修道院,Monastery,shuudouin
分解,Disassembly,bunkai
補,Complement,ho
区画,section,kukaku
気筒,cylinder,kitou
芝,Turf,shiba
君,You,kun
任意,Any, nini
連勝,Consecutive victories,renshou
発掘,Excavation,hakkutsu
身体,body,shintai
フィリピン,Philippines,firipin
クリア,clear,kuria
レコーディング,recording,rekoodingu
一環,Part,ikkan
香川,Kagawa,kagawa
土曜,Saturday,doyou
引き起こす,cause,hikioko su
若干,Slightly,jakkan
隠す,hide,kakusu
振る,shake,furu
優,Superiority,yuu
推薦,Recommendation,suisen
先端,Tip,sentan
廃車,Scrapped,haisha
スピード,speed,supiido
よす,Yosu,yosu
改札,Examination of tickets,kaisatsu
平野,Plain,heiya
委託,Consign,itaku
戻す,return,modosu
在住,Resident,zaijuu
斉,Hitoshi,sei
任,Responsibility,nin
重い,heavy,omoi
蛋白,Protein,tanpaku
どこ,Where,doko
発音,pronunciation,hatsuon
旨,Purport,mune
寄る,Drop in,yoru
秀吉,Hideyoshi,hidekichi
立候補,Candidacy,rikkouho
簡単,Simple,kantan
露,Dew,tsuyu
公立,public,kouritsu
ボディ,body,bodi
支部,Branch,shibu
炎,flame,honoo
工,Engineering,kou
自殺,suicide,jisatsu
ゴルフ,golf,gorufu
手続き,procedure,tetsuzuki
死刑,Death penalty,shikei
雷,Thunder,kaminari
主導,Initiative,shudou
全面,Whole surface,zenmen
山地,Mountainous district,sanchi
暴力,violence,bouryoku
クレジット,credit,kurejitto
ロゴ,logo,rogo
脱出,escape,dasshutsu
手紙,letter,tegami
イラク,Iraq,iraku
興味,Interest,kyoumi
共,Both,tomo
高める,Raise,takame ru
微,Fine,bi
キャンパス,campus,kyanpasu
飲む,to drink,nomu
虫,insect,mushi
難,Difficulty,nan
手術,Surgical operation,shujutsu
接触,contact,sesshoku
キャラ,Character,kyara
侍,samurai,samurai
捕虜,POW,horyo
評す,Hyosu,hyousu
リチャード,Richard,richaado
フットボール,football,futtobooru
書店,Bookshop,shoten
射撃,shooting,shageki
哨戒,Patrol,shoukai
離婚,divorce,rikon
金沢,Kanazawa,kanazawa
梅,plum,ume
回路,circuit,kairo
用途,Use,youto
敗退,Eliminated,haitai
大日,Dainichi,dainichi
賞金,Prize,shoukin
一家,Family,ikka
持,Equity,ji
込める,Put,kome ru
後任,Successor,kounin
歌劇,opera,kageki
耳,ear,mimi
数々,many,kazukazu
文明,civilization,bunmei
講談,Storytelling,koudan
ビッグ,big,biggu
エース,Ace,eesu
遊ぶ,play,asobu
願う,Hope,negau
伯父,uncle,oji
北米,North America,hokubei
電波,Electromagnetic wave,denpa
亡命,exile,boumei
文学部,Department of literature,bungakubu
保安,security,hoan
騎兵,cavalry,kihei
滝,waterfall,taki
竣工,Completion,shunkou
衆,Masses,shuu
侵入,Invasion,shinnyuu
気温,temperature,kion
礼,Rei,rei
狭い,narrow,semai
海戦,Naval battle,kaisen
全域,Whole area, zeniki
宣伝,Propaganda,senden
終結,End,shuuketsu
王位,throne,oui
採る,take,toru
ランク,Rank,ranku
フォード,Ford,foodo
遅い,slow,osoi
回数,Number of times,kaisuu
紛争,Dispute,funsou
社員,The employee,shain
国有,State-owned,kokuyuu
材料,material,zairyou
面する,To surface,mensu ru
団地,Apartment complexes,danchi
刀,sword,katana
探す,look for,sagasu
フィギュア,Figure,figyua
コンセプト,concept,konseputo
連携,Cooperation,renkei
存続,The survival,sonzoku
派生,Derivation,hasei
経路,Route,keiro
主流,Main stream,shuryuu
ホワイト,white,howaito
輝く,Shine,kagayaku
数多い,Numerous,kazuooi
砂,sand,suna
量産,Mass production,ryousan
概ね,Roughly,oomune
成分,component,seibun
喫する,Kissuru,kissu ru
バトル,battle,batoru
肉,meat,niku
当日,The day,toujitsu
火山,Volcano,kazan
以上,that's all,ijou
大佐,Colonel,taisa
ライバル,rival,raibaru
酔う,Get drunk,you
頭部,head,toubu
薔薇,Rose,bara
昭,Akira,akira
車線,A lane,shasen
スト,Strike,suto
木村,Kimura,kimura
募集,Recruitment,boshuu
晋,Susumu,susumu
略,Almost,ryaku
住居,Dwelling,juukyo
圧力,pressure,atsuryoku
特性,Characteristic,tokusei
無人,Unmanned,mujin
共有,share,kyouyuu
ソニー,Sony,sonii
戦前,Prewar days,senzen
フランク,Frank,furanku
屋敷,Mansion,yashiki
畑,field,hatake
出来事,Event,dekigoto
つまり,In other words,tsumari
武蔵,Musashi,musashi
こうして,thus,koushite
反発,Repelling,hanpatsu
僧,monk,sou
森林,forest,shinrin
若手,Young,wakate
濃い,Thick,koi
高級,High grade,koukyuu
修理,Repairing,shuuri
成果,Achievement,seika
ネタ,Neta,neta
敬,Kei,takashi
短編,Short story,tanpen
黒い,black,kuroi
装着,Installing,souchaku
贈る,Give,okuru
人生,life,jinsei
要塞,Fort,yousai
バイエルン,Bayern,baierun
サーバー,server,saabaa
見付かる,It is found,mitsukaru
開拓,Pioneer,kaitaku
仮面,mask,kamen
ね,I,ne
課,Division of,ka
ナチス,Nazis,nachisu
知れる,Become known,shire ru
基盤,Foundation,kiban
詩人,poets,shijin
オール,All,ooru
論理,logic,ronri
義務,Obligation,gimu
部族,tribe,buzoku
財産,property,zaisan
ところが,However,tokoroga
解析,analysis,kaiseki
当該,The,tougai
北方,Northern,hoppou
パス,path,pasu
レスラー,The wrestler,resuraa
則,Law,nori
炭素,carbon,tanso
パターン,pattern,pataan
由,Reason,yu
経過,Progress,keika
少なくとも,at least,sukunakutomo
ポケモン,Pokémon,pokemon
勤める,serve,tsutome ru
在位,reign,zaii
監視,Surveillance,kanshi
権限,Authority,kengen
強,strength,kyou
転向,Conversion,tenkou
削減,Reduction,sakugen
さえ,even,sae
辺,Sides,hen
婦,Women,fu
該当,Applicable,gaitou
日記,diary,nikki
太田,Ota,oota
滋賀,Shiga,shiga
書記,Secretary,shoki
ルイス,Lewis,ruisu
そんな,Such,sonna
上院,House of Lords,jouin
シナリオ,scenario,shinario
怪我,injury,kega
奉行,magistrate,bugyou
一員,member,ichiin
促進,Promotion,sokushin
題する,Entitled,daisu ru
カレッジ,College,karejji
異常,Abnormality,ijou
災害,disaster,saigai
応援,Support,ouen
根拠,Basis,konkyo
位置付ける,Place,ichizuke ru
誤る,Wrong,ayamaru
収集,collection,shuushuu
化合,Compound,kagou
支店,Branch office,shiten
信用,credit,shinyou
触れる,touch,fureru
固有,Characteristic,koyuu
捨てる,throw away,sute ru
本土,main land,hondo
五郎,Goro,gorou
役所,Government office,yakusho
処刑,Punishment,shokei
火災,fire,kasai
マガジン,magazine,magajin
松山,Matsuyama,matsuyama
学術,Science,gakujutsu
差別,discrimination,sabetsu
初演,First performance,shoen
通行,Passage,tsuukou
パッケージ,package,pakkeeji
謎,The mystery,nazo
航海,Voyage,koukai
正しい,correct,tadashi i
味,taste,aji
中野,Nakano,nakano
軒,Eaves,ken
塗装,Painting,tosou
出資,Investment,shusshi
跡地,Site,atochi
鹿,deer,shika
伊達,Date,date
天然,Nature,tennen
証拠,evidence,shouko
退職,retirement,taishoku
突然,suddenly,totsuzen
ジャケット,Jacket,jaketto
卒,Graduation,sotsu
落語,Comic story,rakugo
起点,Starting point,kiten
梁,Beams,hari
症状,Symptom,shoujou
ブログ,blog,burogu
オーケストラ,orchestra,ookesutora
ユース,Youth,yuusu
一帯,Zone,ittai
校舎,School building,kousha
デモ,demo,demo
前期,The previous fiscal year,zenki
武将,Military commander,bushou
必ず,you have to,kanarazu
あらゆる,every,arayuru
補給,Supply,hokyuu
近隣,Neighborhood,kinrin
スミス,Smith,sumisu
言及,Reference,genkyuu
ファミリー,family,famirii
ステーション,station,suteeshon
前田,Maeda,maeda
積,product,seki
アナログ,analog,anarogu
海洋,Ocean,kaiyou
都道府県,Prefectures,todoufuken
資産,Asset,shisan
要因,Factor,youin
紅,deep red,kurenai
地形,terrain,chikei
偽,false,nise
縮小,Reduction,shukushou
正規,regular,seiki
上杉,Uesugi,uesugi
上演,Performance,jouen
ウイルス,Virus,uirusu
想定,Assumption,soutei
ボストン,Boston,bosuton
有限,Limited,yuugen
受験,Entrance exam,juken
ヤード,Yard,yaado
総裁,President,sousai
接近,Access,sekkin
移管,Transfer,ikan
授業,Lesson,jugyou
陥落,fall,kanraku
勧める,recommend,susume ru
ハワイ,Hawaii,hawai
近畿,Kinki,kinki
荷,load,ka
直径,diameter,chokkei
再現,Reproduction,saigen
制覇,Domination,seiha
独,Germany,doku
立ち上げる,Launch,tachiage ru
推測,Guess,suisoku
キリスト,Christ,kirisuto
出席,Attendance,shusseki
ステークス,Stakes,suteekusu
私立,private,shiritsu
かも,maybe,kamo
向く,Face,muku
弱い,weak,yowai
リニューアル,renewal,rinyuuaru
空襲,Air raid,kuushuu
短縮,Shortening,tanshuku
ハード,hard,haado
人種,Race,jinshu
はずだ,Should,hazuda
余儀無い,Not another problem,yogi nai
布,cloth,nuno
詳しい,detailed,kuwashi i
ポスト,post,posuto
安打,Hits,anda
方言,dialect,hougen
質量,mass,shitsuryou
